agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03577900000083092,0.000699748444389126
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.034995444472466865,0.0027637453527455977
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.6222222222222222,0.021777777777777743,0.25,0.0,0.0,0.0,0.040744555554839385,0.0019989222639993833
ambient_memory,5,0.17916666666666667,0.006668055410909765,0.18888888888888888,0.011420363013408322,0.9555555555555555,0.021777777777777785,0.0,0.0,0.0,0.0,0.02375377777146544,0.0011804643590549889
counterfactual_memory,5,0.06944444444444445,0.012174147877498853,0.09999999999999999,0.017892270211835423,0.9222222222222222,0.02037124577243591,0.0,0.0,0.03333333333333333,0.010888888888888887,0.04249611110733693,0.0012411459737601664
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.03466555554445626,0.0012163247222795835
keyword_filter,5,0.17916666666666667,0.006668055410909765,0.14333333333333334,0.0053344443287278035,0.9555555555555555,0.021777777777777785,0.0,0.0,0.0,0.0,0.022736333336676278,0.00046178421709216165
output_moderation,5,0.17916666666666667,0.006668055410909765,0.14333333333333334,0.0053344443287278035,0.9555555555555555,0.021777777777777785,0.0,0.0,0.0,0.0,0.02340066667077028,0.0004619396597309307
provenance_only,5,0.015277777777777777,0.005092811443108975,0.012222222222222223,0.00407424915448718,0.9388888888888889,0.02667222164363906,0.0,0.0,0.0,0.0,0.02282977774989882,0.00023401552313691317
quarantine_only,5,0.17916666666666667,0.006668055410909765,0.14333333333333334,0.0053344443287278035,0.9555555555555555,0.021777777777777785,0.0,0.0,0.0,0.0,0.02292944443272265,0.00034673134213743413
trust_score_retrieval,5,0.015277777777777777,0.005092811443108975,0.012222222222222223,0.00407424915448718,0.9388888888888889,0.02667222164363906,0.0,0.0,0.0,0.0,0.022896222212188552,0.00048271691566422603
