agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0367296825335495,0.0012614641265685559
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.03600611111367124,0.0013299413420448615
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.7083333333333334,0.009624508966150242,0.2222222222222222,0.0,0.0,0.0,0.04078357141340334,0.0010586173825691953
ambient_memory,5,0.22037037037037036,0.003629629629629624,0.10952380952380952,0.005275145542430764,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.024057142848375537,0.0008041083110541079
counterfactual_memory,5,0.06111111111111111,0.012308672932338447,0.04126984126984127,0.0031111111111111105,0.9,0.005444444444444468,0.0,0.0,0.006944444444444444,0.006087073938749426,0.042944920628470426,0.001255371547690536
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.03736198411157631,0.0014388830216985017
keyword_filter,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.02386373014901654,0.0009773235715222635
output_moderation,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.02409015872737135,0.0005889614257315536
provenance_only,5,0.027777777777777776,0.014057495108456549,0.011904761904761904,0.006024640760767093,0.9027777777777778,0.004304211259673611,0.0,0.0,0.0,0.0,0.023779126991391262,0.000757963600205048
quarantine_only,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.023749047616706414,0.0009448625677310822
trust_score_retrieval,5,0.027777777777777776,0.014057495108456549,0.011904761904761904,0.006024640760767093,0.9027777777777778,0.004304211259673611,0.0,0.0,0.0,0.0,0.02519388889422338,0.0020854150736601186
