agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,180,144,36,16,16,36,0,0,0.1111111111111111,0.08888888888888889,1.0,0.0,0.0,10.851400000774447,0.06028555555985804,0,4242,60,multimodal
keyword_filter,180,144,36,16,16,36,0,0,0.1111111111111111,0.08888888888888889,1.0,0.0,0.0,10.580699995443865,0.058781666641354806,0,4242,60,multimodal
quarantine_only,180,144,36,16,16,36,0,0,0.1111111111111111,0.08888888888888889,1.0,0.0,0.0,9.544300000470685,0.053023888891503806,0,4242,60,multimodal
trust_score_retrieval,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,9.622200000649173,0.053456666670273184,0,4242,60,multimodal
output_moderation,180,144,36,16,16,36,0,0,0.1111111111111111,0.08888888888888889,1.0,0.0,0.0,10.361100000864099,0.05756166667146721,0,4242,60,multimodal
counterfactual_memory,180,144,36,4,4,36,0,0,0.027777777777777776,0.022222222222222223,1.0,0.0,0.0,18.367400001807255,0.10204111112115141,0,4242,60,multimodal
provenance_only,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,9.62939999635637,0.053496666646424273,0,4242,60,multimodal
intent_capsules,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,18.963699999403616,0.10535388888557565,0,4242,60,multimodal
ablation_no_topic_scope,180,144,36,0,0,34,36,0,0.0,0.0,0.9444444444444444,0.25,0.0,17.886799998450442,0.09937111110250246,0,4242,60,multimodal
ablation_no_denied_actions,180,144,36,48,48,36,0,0,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,17.22059999838166,0.09566999999100921,0,4242,60,multimodal
ablation_no_quorum,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,19.295099998544174,0.10719499999191208,0,4242,60,multimodal
ambient_memory,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,11.281399998551933,0.06267444443639963,1,4243,60,multimodal
keyword_filter,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,10.633300000790769,0.05907388889328205,1,4243,60,multimodal
quarantine_only,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,11.695300001065334,0.06497388889480742,1,4243,60,multimodal
trust_score_retrieval,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,12.087099999916973,0.06715055555509429,1,4243,60,multimodal
output_moderation,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,10.031600001639163,0.05573111112021757,1,4243,60,multimodal
counterfactual_memory,180,144,36,5,5,36,0,0,0.034722222222222224,0.027777777777777776,1.0,0.0,0.0,19.182400001682254,0.10656888889823474,1,4243,60,multimodal
provenance_only,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,9.534199999961857,0.052967777777565866,1,4243,60,multimodal
intent_capsules,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,18.17780000055791,0.10098777778087727,1,4243,60,multimodal
ablation_no_topic_scope,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,17.355300004055607,0.09641833335586449,1,4243,60,multimodal
ablation_no_denied_actions,180,144,36,48,48,36,0,0,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,16.611700001703866,0.09228722223168814,1,4243,60,multimodal
ablation_no_quorum,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,17.777999998997984,0.09876666666109991,1,4243,60,multimodal
ambient_memory,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,10.30949999767472,0.05727499998708178,2,4244,60,multimodal
keyword_filter,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,10.004699998262367,0.055581666657013154,2,4244,60,multimodal
quarantine_only,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,11.126800000965886,0.06181555556092159,2,4244,60,multimodal
trust_score_retrieval,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,9.407099997588375,0.05226166665326875,2,4244,60,multimodal
output_moderation,180,144,36,17,17,36,0,0,0.11805555555555555,0.09444444444444444,1.0,0.0,0.0,10.521100001369632,0.05845055556316462,2,4244,60,multimodal
counterfactual_memory,180,144,36,5,5,36,0,0,0.034722222222222224,0.027777777777777776,1.0,0.0,0.0,20.463400001517584,0.11368555556398657,2,4244,60,multimodal
provenance_only,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,9.657700003117498,0.05365388890620832,2,4244,60,multimodal
intent_capsules,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,18.599499996071245,0.10333055553372913,2,4244,60,multimodal
ablation_no_topic_scope,180,144,36,0,0,35,36,0,0.0,0.0,0.9722222222222222,0.25,0.0,19.638000001577893,0.10910000000876607,2,4244,60,multimodal
ablation_no_denied_actions,180,144,36,48,48,36,0,0,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,16.716700003598817,0.09287055557554898,2,4244,60,multimodal
ablation_no_quorum,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,21.204500001203996,0.11780277778446664,2,4244,60,multimodal
ambient_memory,180,144,36,18,18,36,0,0,0.125,0.1,1.0,0.0,0.0,14.899200004947488,0.08277333336081938,3,4245,60,multimodal
keyword_filter,180,144,36,18,18,36,0,0,0.125,0.1,1.0,0.0,0.0,15.385299999252311,0.08547388888473506,3,4245,60,multimodal
quarantine_only,180,144,36,18,18,36,0,0,0.125,0.1,1.0,0.0,0.0,15.260599996508972,0.08478111109171652,3,4245,60,multimodal
trust_score_retrieval,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,13.836299996455637,0.07686833331364243,3,4245,60,multimodal
output_moderation,180,144,36,18,18,36,0,0,0.125,0.1,1.0,0.0,0.0,15.60739999922589,0.08670777777347717,3,4245,60,multimodal
counterfactual_memory,180,144,36,6,6,36,0,0,0.041666666666666664,0.03333333333333333,1.0,0.0,0.0,29.196299999057373,0.16220166666142985,3,4245,60,multimodal
provenance_only,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,15.703699995356146,0.08724277775197858,3,4245,60,multimodal
intent_capsules,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,25.55169999550344,0.141953888863908,3,4245,60,multimodal
ablation_no_topic_scope,180,144,36,0,0,32,36,0,0.0,0.0,0.8888888888888888,0.25,0.0,27.0597000012458,0.15033166667358777,3,4245,60,multimodal
ablation_no_denied_actions,180,144,36,48,48,36,0,0,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,23.092800000085845,0.12829333333381024,3,4245,60,multimodal
ablation_no_quorum,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,23.364000000128726,0.12980000000071515,3,4245,60,multimodal
ambient_memory,180,144,36,15,15,36,0,0,0.10416666666666667,0.08333333333333333,1.0,0.0,0.0,12.876100000539736,0.07153388889188743,4,4246,60,multimodal
keyword_filter,180,144,36,15,15,36,0,0,0.10416666666666667,0.08333333333333333,1.0,0.0,0.0,15.427299998009403,0.08570722221116335,4,4246,60,multimodal
quarantine_only,180,144,36,15,15,36,0,0,0.10416666666666667,0.08333333333333333,1.0,0.0,0.0,14.54520000379489,0.08080666668774938,4,4246,60,multimodal
trust_score_retrieval,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,12.905099997624347,0.07169499998680193,4,4246,60,multimodal
output_moderation,180,144,36,15,15,36,0,0,0.10416666666666667,0.08333333333333333,1.0,0.0,0.0,15.931300001284399,0.08850722222935777,4,4246,60,multimodal
counterfactual_memory,180,144,36,3,3,36,0,0,0.020833333333333332,0.016666666666666666,1.0,0.0,0.0,27.764799999204115,0.1542488888844673,4,4246,60,multimodal
provenance_only,180,144,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,14.410299997052789,0.08005722220584882,4,4246,60,multimodal
intent_capsules,180,144,36,0,0,36,36,0,0.0,0.0,1.0,0.25,0.0,22.935900003631104,0.12742166668683946,4,4246,60,multimodal
ablation_no_topic_scope,180,144,36,0,0,33,36,0,0.0,0.0,0.9166666666666666,0.25,0.0,26.9940999969549,0.149967222205305,4,4246,60,multimodal
