agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,8,0.3333333333333333,0.0,0.26666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12345500000429234,0.017619834431476734
ablation_no_quorum,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.1308456249991726,0.014311971835034543
ablation_no_topic_scope,8,0.0,0.0,0.0,0.0,0.9270833333333333,0.03243494200646831,0.25,0.0,0.0,0.0,0.12978250000262254,0.016803160109610145
ambient_memory,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.07179388889255733,0.007956163822601918
counterfactual_memory,8,0.03125,0.007275444918727108,0.025,0.005820355934981686,1.0,0.0,0.0,0.0,0.0,0.0,0.1398818750036273,0.01882785686677869
intent_capsules,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.12499180554767816,0.013688346083818198
keyword_filter,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.07443715277114886,0.00962414222725763
output_moderation,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.0747304861085417,0.01015032305249843
provenance_only,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07122861110657494,0.010823484302831142
quarantine_only,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.07399430555810543,0.008480627839061223
trust_score_retrieval,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0717781249925843,0.009208069794484778
