agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,648,600,48,264,270,47,0,0,0.44,0.4166666666666667,0.9791666666666666,0.0,0.0,19.346799974300666,0.029856172799846706,0,2026,12,generated_holdout
keyword_filter,648,600,48,241,241,47,0,0,0.40166666666666667,0.37191358024691357,0.9791666666666666,0.0,0.0,19.032999986848154,0.029371913559950856,0,2026,12,generated_holdout
quarantine_only,648,600,48,241,241,47,0,0,0.40166666666666667,0.37191358024691357,0.9791666666666666,0.0,0.0,19.34359998904256,0.029851234550991604,0,2026,12,generated_holdout
trust_score_retrieval,648,600,48,79,79,47,0,0,0.13166666666666665,0.12191358024691358,0.9791666666666666,0.0,0.0,19.141299995681038,0.02953904320321148,0,2026,12,generated_holdout
output_moderation,648,600,48,240,240,47,0,0,0.4,0.37037037037037035,0.9791666666666666,0.0,0.0,20.51010000104725,0.03165138889050501,0,2026,12,generated_holdout
counterfactual_memory,648,600,48,128,134,44,0,3,0.21333333333333335,0.20679012345679013,0.9166666666666666,0.0,0.0625,37.45219999200344,0.05779660492593124,0,2026,12,generated_holdout
provenance_only,648,600,48,79,79,47,0,0,0.13166666666666665,0.12191358024691358,0.9791666666666666,0.0,0.0,18.996099991454685,0.029314969122615255,0,2026,12,generated_holdout
intent_capsules,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,33.466500011854805,0.051645833351627785,0,2026,12,generated_holdout
ablation_no_topic_scope,648,600,48,0,0,23,72,0,0.0,0.0,0.4791666666666667,0.12,0.0,65.41339999967022,0.10094660493776268,0,2026,12,generated_holdout
ablation_no_denied_actions,648,600,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,42.92780000287166,0.06624660494270318,0,2026,12,generated_holdout
ablation_no_quorum,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,31.173500005024835,0.04810725309417413,0,2026,12,generated_holdout
ambient_memory,648,600,48,264,269,47,0,0,0.44,0.41512345679012347,0.9791666666666666,0.0,0.0,19.656999994367652,0.030334876534517982,1,2027,12,generated_holdout
keyword_filter,648,600,48,241,241,47,0,0,0.40166666666666667,0.37191358024691357,0.9791666666666666,0.0,0.0,19.333499981257773,0.02983564811922496,1,2027,12,generated_holdout
quarantine_only,648,600,48,241,241,47,0,0,0.40166666666666667,0.37191358024691357,0.9791666666666666,0.0,0.0,18.870900006731972,0.029121759269648106,1,2027,12,generated_holdout
trust_score_retrieval,648,600,48,77,77,47,0,0,0.12833333333333333,0.11882716049382716,0.9791666666666666,0.0,0.0,19.19059998999728,0.02961512344135383,1,2027,12,generated_holdout
output_moderation,648,600,48,240,240,47,0,0,0.4,0.37037037037037035,0.9791666666666666,0.0,0.0,20.36739999857673,0.03143117283730977,1,2027,12,generated_holdout
counterfactual_memory,648,600,48,145,150,47,0,0,0.24166666666666667,0.23148148148148148,0.9791666666666666,0.0,0.0,38.893899992217484,0.0600214506052739,1,2027,12,generated_holdout
provenance_only,648,600,48,77,77,47,0,0,0.12833333333333333,0.11882716049382716,0.9791666666666666,0.0,0.0,18.723499997577164,0.028894290119717846,1,2027,12,generated_holdout
intent_capsules,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,31.74599999692873,0.048990740736001126,1,2027,12,generated_holdout
ablation_no_topic_scope,648,600,48,0,0,20,72,0,0.0,0.0,0.4166666666666667,0.12,0.0,51.27820001052896,0.07913302470760643,1,2027,12,generated_holdout
ablation_no_denied_actions,648,600,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,35.09650000705733,0.05416126544298971,1,2027,12,generated_holdout
ablation_no_quorum,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,29.311300002518692,0.04523348765820786,1,2027,12,generated_holdout
ambient_memory,648,600,48,269,274,46,0,0,0.4483333333333333,0.4228395061728395,0.9583333333333334,0.0,0.0,18.97409999764932,0.029281018514890924,2,2028,12,generated_holdout
keyword_filter,648,600,48,245,245,46,0,0,0.4083333333333333,0.37808641975308643,0.9583333333333334,0.0,0.0,19.189199982065475,0.029612962935286227,2,2028,12,generated_holdout
quarantine_only,648,600,48,245,245,46,0,0,0.4083333333333333,0.37808641975308643,0.9583333333333334,0.0,0.0,19.19460000044637,0.02962129629698514,2,2028,12,generated_holdout
trust_score_retrieval,648,600,48,79,79,45,0,0,0.13166666666666665,0.12191358024691358,0.9375,0.0,0.0,18.472899986591074,0.028507561707702272,2,2028,12,generated_holdout
output_moderation,648,600,48,245,245,46,0,0,0.4083333333333333,0.37808641975308643,0.9583333333333334,0.0,0.0,19.198300006792124,0.02962700618332118,2,2028,12,generated_holdout
counterfactual_memory,648,600,48,149,154,41,0,5,0.24833333333333332,0.23765432098765432,0.8541666666666666,0.0,0.10416666666666667,38.383600001907325,0.059233950620227356,2,2028,12,generated_holdout
provenance_only,648,600,48,79,79,45,0,0,0.13166666666666665,0.12191358024691358,0.9375,0.0,0.0,19.183399983376148,0.02960401232002492,2,2028,12,generated_holdout
intent_capsules,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,34.8408999871026,0.05376682096775093,2,2028,12,generated_holdout
ablation_no_topic_scope,648,600,48,0,0,23,72,0,0.0,0.0,0.4791666666666667,0.12,0.0,51.18750000201544,0.0789930555586658,2,2028,12,generated_holdout
ablation_no_denied_actions,648,600,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,34.98490000310994,0.05398904321467584,2,2028,12,generated_holdout
ablation_no_quorum,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,29.021300010754203,0.04478595680671945,2,2028,12,generated_holdout
ambient_memory,648,600,48,267,270,47,0,0,0.445,0.4166666666666667,0.9791666666666666,0.0,0.0,19.066799994106987,0.02942407406497992,3,2029,12,generated_holdout
keyword_filter,648,600,48,243,243,47,0,0,0.405,0.375,0.9791666666666666,0.0,0.0,19.316299984893703,0.02980910491495942,3,2029,12,generated_holdout
quarantine_only,648,600,48,243,243,47,0,0,0.405,0.375,0.9791666666666666,0.0,0.0,19.040200007111707,0.02938302470233288,3,2029,12,generated_holdout
trust_score_retrieval,648,600,48,79,79,46,0,0,0.13166666666666665,0.12191358024691358,0.9583333333333334,0.0,0.0,18.62130001791229,0.028736574101716497,3,2029,12,generated_holdout
output_moderation,648,600,48,243,243,47,0,0,0.405,0.375,0.9791666666666666,0.0,0.0,19.279800007097947,0.0297527777887314,3,2029,12,generated_holdout
counterfactual_memory,648,600,48,144,147,46,0,1,0.24,0.22685185185185186,0.9583333333333334,0.0,0.020833333333333332,38.1735999853845,0.05890987652065509,3,2029,12,generated_holdout
provenance_only,648,600,48,79,79,46,0,0,0.13166666666666665,0.12191358024691358,0.9583333333333334,0.0,0.0,18.540000013672397,0.02861111113221049,3,2029,12,generated_holdout
intent_capsules,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,31.136900004639756,0.04805077161209839,3,2029,12,generated_holdout
ablation_no_topic_scope,648,600,48,0,0,22,72,0,0.0,0.0,0.4583333333333333,0.12,0.0,51.166700001886056,0.07896095679303404,3,2029,12,generated_holdout
ablation_no_denied_actions,648,600,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,34.41140000722953,0.0531040123568357,3,2029,12,generated_holdout
ablation_no_quorum,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,28.85119997245056,0.04452345674760889,3,2029,12,generated_holdout
ambient_memory,648,600,48,267,275,46,0,0,0.445,0.4243827160493827,0.9583333333333334,0.0,0.0,19.545900008779427,0.030163425939474423,4,2030,12,generated_holdout
keyword_filter,648,600,48,243,243,46,0,0,0.405,0.375,0.9583333333333334,0.0,0.0,19.481499996800267,0.030064043204938683,4,2030,12,generated_holdout
quarantine_only,648,600,48,243,243,46,0,0,0.405,0.375,0.9583333333333334,0.0,0.0,19.487100013066083,0.030072685205348892,4,2030,12,generated_holdout
trust_score_retrieval,648,600,48,80,80,46,0,0,0.13333333333333333,0.12345679012345678,0.9583333333333334,0.0,0.0,19.13520000380231,0.029529629635497393,4,2030,12,generated_holdout
output_moderation,648,600,48,243,243,46,0,0,0.405,0.375,0.9583333333333334,0.0,0.0,19.373599990103685,0.02989753084892544,4,2030,12,generated_holdout
counterfactual_memory,648,600,48,143,151,45,0,1,0.23833333333333334,0.2330246913580247,0.9375,0.0,0.020833333333333332,38.19019999264128,0.05893549381580445,4,2030,12,generated_holdout
provenance_only,648,600,48,80,80,46,0,0,0.13333333333333333,0.12345679012345678,0.9583333333333334,0.0,0.0,19.18100000693812,0.029600308652682285,4,2030,12,generated_holdout
intent_capsules,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,31.475399992814346,0.04857314813705917,4,2030,12,generated_holdout
ablation_no_topic_scope,648,600,48,0,0,20,72,0,0.0,0.0,0.4166666666666667,0.12,0.0,51.66210000334104,0.07972546296811889,4,2030,12,generated_holdout
ablation_no_denied_actions,648,600,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,34.53440000703267,0.05329382717134672,4,2030,12,generated_holdout
ablation_no_quorum,648,600,48,0,0,48,72,0,0.0,0.0,1.0,0.12,0.0,29.324699999961013,0.0452541666666065,4,2030,12,generated_holdout
