agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,312,276,36,155,159,34,0,0,0.5615942028985508,0.5096153846153846,0.9444444444444444,0.0,0.0,9.801600001082988,0.031415384618855735,0,2026,12,extreme
keyword_filter,312,276,36,143,143,34,0,0,0.5181159420289855,0.4583333333333333,0.9444444444444444,0.0,0.0,9.942399991814455,0.031866666640430946,0,2026,12,extreme
quarantine_only,312,276,36,143,143,34,0,0,0.5181159420289855,0.4583333333333333,0.9444444444444444,0.0,0.0,9.195200006615778,0.029471794892999288,0,2026,12,extreme
trust_score_retrieval,312,276,36,42,42,34,0,0,0.15217391304347827,0.1346153846153846,0.9444444444444444,0.0,0.0,9.069600012480805,0.02906923080923335,0,2026,12,extreme
output_moderation,312,276,36,143,143,34,0,0,0.5181159420289855,0.4583333333333333,0.9444444444444444,0.0,0.0,9.265600000617269,0.029697435899414322,0,2026,12,extreme
counterfactual_memory,312,276,36,58,62,32,0,2,0.21014492753623187,0.1987179487179487,0.8888888888888888,0.0,0.05555555555555555,18.896200007475272,0.060564743613702794,0,2026,12,extreme
provenance_only,312,276,36,42,42,34,0,0,0.15217391304347827,0.1346153846153846,0.9444444444444444,0.0,0.0,9.033699987412547,0.028954166626322265,0,2026,12,extreme
intent_capsules,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,16.682700002093043,0.053470192314400776,0,2026,12,extreme
ablation_no_topic_scope,312,276,36,0,0,25,36,0,0.0,0.0,0.6944444444444444,0.13043478260869565,0.0,25.5029999962062,0.081740384603225,0,2026,12,extreme
ablation_no_denied_actions,312,276,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,17.415699993762246,0.05581955126205848,0,2026,12,extreme
ablation_no_quorum,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,14.454300001489173,0.046327884620157606,0,2026,12,extreme
ambient_memory,312,276,36,155,159,35,0,0,0.5615942028985508,0.5096153846153846,0.9722222222222222,0.0,0.0,9.281799997552298,0.029749358966513775,1,2027,12,extreme
keyword_filter,312,276,36,143,143,35,0,0,0.5181159420289855,0.4583333333333333,0.9722222222222222,0.0,0.0,9.14820001435146,0.029321153892152115,1,2027,12,extreme
quarantine_only,312,276,36,143,143,35,0,0,0.5181159420289855,0.4583333333333333,0.9722222222222222,0.0,0.0,9.215100004439591,0.029535576937306383,1,2027,12,extreme
trust_score_retrieval,312,276,36,46,46,35,0,0,0.16666666666666666,0.14743589743589744,0.9722222222222222,0.0,0.0,9.039199996550451,0.028971794860738625,1,2027,12,extreme
output_moderation,312,276,36,143,143,35,0,0,0.5181159420289855,0.4583333333333333,0.9722222222222222,0.0,0.0,9.246600008737005,0.029636538489541682,1,2027,12,extreme
counterfactual_memory,312,276,36,57,61,35,0,0,0.20652173913043478,0.1955128205128205,0.9722222222222222,0.0,0.0,18.597900000713707,0.05960865384844137,1,2027,12,extreme
provenance_only,312,276,36,46,46,35,0,0,0.16666666666666666,0.14743589743589744,0.9722222222222222,0.0,0.0,8.996799991109583,0.02883589740740251,1,2027,12,extreme
intent_capsules,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,15.289800012396881,0.049005769270502826,1,2027,12,extreme
ablation_no_topic_scope,312,276,36,0,0,24,36,0,0.0,0.0,0.6666666666666666,0.13043478260869565,0.0,25.34209999430459,0.08122467946892496,1,2027,12,extreme
ablation_no_denied_actions,312,276,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,17.326600003798376,0.05553397437114864,1,2027,12,extreme
ablation_no_quorum,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,14.691999991555349,0.0470897435626774,1,2027,12,extreme
ambient_memory,312,276,36,153,159,35,0,0,0.5543478260869565,0.5096153846153846,0.9722222222222222,0.0,0.0,9.115299995755777,0.029215705114601847,2,2028,12,extreme
keyword_filter,312,276,36,141,141,35,0,0,0.5108695652173914,0.4519230769230769,0.9722222222222222,0.0,0.0,9.046500009390002,0.028995192337788467,2,2028,12,extreme
quarantine_only,312,276,36,141,141,35,0,0,0.5108695652173914,0.4519230769230769,0.9722222222222222,0.0,0.0,9.208900006342446,0.029515705148533484,2,2028,12,extreme
trust_score_retrieval,312,276,36,43,43,34,0,0,0.15579710144927536,0.13782051282051283,0.9444444444444444,0.0,0.0,8.94669999161124,0.02867532048593346,2,2028,12,extreme
output_moderation,312,276,36,141,141,35,0,0,0.5108695652173914,0.4519230769230769,0.9722222222222222,0.0,0.0,9.213500009536801,0.02953044874851539,2,2028,12,extreme
counterfactual_memory,312,276,36,56,62,34,0,1,0.2028985507246377,0.1987179487179487,0.9444444444444444,0.0,0.027777777777777776,18.313100010345806,0.05869583336649297,2,2028,12,extreme
provenance_only,312,276,36,43,43,34,0,0,0.15579710144927536,0.13782051282051283,0.9444444444444444,0.0,0.0,9.145499999249296,0.029312499997593895,2,2028,12,extreme
intent_capsules,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,15.286399989236088,0.04899487176037208,2,2028,12,extreme
ablation_no_topic_scope,312,276,36,0,0,22,36,0,0.0,0.0,0.6111111111111112,0.13043478260869565,0.0,24.948800002675853,0.07996410257267901,2,2028,12,extreme
ablation_no_denied_actions,312,276,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,17.154800007119775,0.05498333335615312,2,2028,12,extreme
ablation_no_quorum,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,14.429499994548678,0.04624839741842525,2,2028,12,extreme
ambient_memory,312,276,36,155,162,35,0,0,0.5615942028985508,0.5192307692307693,0.9722222222222222,0.0,0.0,9.349000007205177,0.029964743612837106,3,2029,12,extreme
keyword_filter,312,276,36,143,143,35,0,0,0.5181159420289855,0.4583333333333333,0.9722222222222222,0.0,0.0,9.010600000692648,0.02888012820734823,3,2029,12,extreme
quarantine_only,312,276,36,143,143,35,0,0,0.5181159420289855,0.4583333333333333,0.9722222222222222,0.0,0.0,9.235899992745544,0.029602243566492128,3,2029,12,extreme
trust_score_retrieval,312,276,36,37,37,34,0,0,0.13405797101449277,0.11858974358974358,0.9444444444444444,0.0,0.0,9.007100001326762,0.0288689102606627,3,2029,12,extreme
output_moderation,312,276,36,143,143,35,0,0,0.5181159420289855,0.4583333333333333,0.9722222222222222,0.0,0.0,9.124700000938901,0.029245833336342633,3,2029,12,extreme
counterfactual_memory,312,276,36,52,59,35,0,0,0.18840579710144928,0.1891025641025641,0.9722222222222222,0.0,0.0,18.223999996735074,0.0584102563997919,3,2029,12,extreme
provenance_only,312,276,36,37,37,34,0,0,0.13405797101449277,0.11858974358974358,0.9444444444444444,0.0,0.0,9.026699992318754,0.028931730744611393,3,2029,12,extreme
intent_capsules,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,15.320699999392673,0.04910480769036113,3,2029,12,extreme
ablation_no_topic_scope,312,276,36,0,0,22,36,0,0.0,0.0,0.6111111111111112,0.13043478260869565,0.0,25.30459999161394,0.08110448715260879,3,2029,12,extreme
ablation_no_denied_actions,312,276,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,18.0571999935637,0.05787564100501186,3,2029,12,extreme
ablation_no_quorum,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,14.355700007399719,0.04601185899807602,3,2029,12,extreme
ambient_memory,312,276,36,155,159,36,0,0,0.5615942028985508,0.5096153846153846,1.0,0.0,0.0,9.127399998760666,0.029254487175514956,4,2030,12,extreme
keyword_filter,312,276,36,143,143,36,0,0,0.5181159420289855,0.4583333333333333,1.0,0.0,0.0,9.094899997762695,0.029150320505649665,4,2030,12,extreme
quarantine_only,312,276,36,143,143,36,0,0,0.5181159420289855,0.4583333333333333,1.0,0.0,0.0,9.073000001990295,0.029080128211507354,4,2030,12,extreme
trust_score_retrieval,312,276,36,43,43,35,0,0,0.15579710144927536,0.13782051282051283,0.9722222222222222,0.0,0.0,9.165100001155224,0.029375320516523154,4,2030,12,extreme
output_moderation,312,276,36,143,143,36,0,0,0.5181159420289855,0.4583333333333333,1.0,0.0,0.0,9.201599991683906,0.029492307665653545,4,2030,12,extreme
counterfactual_memory,312,276,36,62,65,32,0,4,0.2246376811594203,0.20833333333333334,0.8888888888888888,0.0,0.1111111111111111,18.352600003709085,0.05882243590932399,4,2030,12,extreme
provenance_only,312,276,36,43,43,35,0,0,0.15579710144927536,0.13782051282051283,0.9722222222222222,0.0,0.0,9.610799987967766,0.0308038461152813,4,2030,12,extreme
intent_capsules,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,15.23120000547351,0.04881794873549202,4,2030,12,extreme
ablation_no_topic_scope,312,276,36,0,0,22,36,0,0.0,0.0,0.6111111111111112,0.13043478260869565,0.0,25.056499992388126,0.08030929484739784,4,2030,12,extreme
ablation_no_denied_actions,312,276,36,0,0,36,0,0,0.0,0.0,1.0,0.0,0.0,17.143999983090907,0.05494871789452214,4,2030,12,extreme
ablation_no_quorum,312,276,36,0,0,36,36,0,0.0,0.0,1.0,0.13043478260869565,0.0,14.325400014968181,0.04591474363771853,4,2030,12,extreme
