agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,240,204,36,94,104,35,0,0,0.46078431372549017,0.43333333333333335,0.9722222222222222,0.0,0.0,5.259600000499631,0.021915000002081797,0,2026,10,insane
keyword_filter,240,204,36,94,94,35,0,0,0.46078431372549017,0.39166666666666666,0.9722222222222222,0.0,0.0,4.83470000745001,0.02014458336437504,0,2026,10,insane
provenance_only,240,204,36,19,19,35,0,0,0.09313725490196079,0.07916666666666666,0.9722222222222222,0.0,0.0,5.3717000018878025,0.022382083341199177,0,2026,10,insane
intent_capsules,240,204,36,0,0,36,24,0,0.0,0.0,1.0,0.11764705882352941,0.0,6.710000005114125,0.02795833335464219,0,2026,10,insane
ablation_no_topic_scope,240,204,36,0,0,20,24,0,0.0,0.0,0.5555555555555556,0.11764705882352941,0.0,6.8062000018471736,0.028359166674363223,0,2026,10,insane
ablation_no_denied_actions,240,204,36,120,120,36,0,0,0.5882352941176471,0.5,1.0,0.0,0.0,6.08460000512423,0.02535250002135096,0,2026,10,insane
ablation_no_quorum,240,204,36,12,12,36,24,0,0.058823529411764705,0.05,1.0,0.11764705882352941,0.0,5.943899996964319,0.02476624998735133,0,2026,10,insane
ambient_memory,240,204,36,93,100,34,0,0,0.45588235294117646,0.4166666666666667,0.9444444444444444,0.0,0.0,4.892599999038794,0.020385833329328307,1,2027,10,insane
keyword_filter,240,204,36,93,93,34,0,0,0.45588235294117646,0.3875,0.9444444444444444,0.0,0.0,4.763699997965887,0.019848749991524528,1,2027,10,insane
provenance_only,240,204,36,16,16,34,0,0,0.0784313725490196,0.06666666666666667,0.9444444444444444,0.0,0.0,4.957100002684456,0.020654583344518567,1,2027,10,insane
intent_capsules,240,204,36,0,0,36,24,0,0.0,0.0,1.0,0.11764705882352941,0.0,5.852299995240173,0.024384583313500723,1,2027,10,insane
