agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,90,72,18,15,26,17,0,0,0.20833333333333334,0.28888888888888886,0.9444444444444444,0.0,0.0,1.9794000036199577,0.021993333373555086,0,2026,6,multimodal
keyword_filter,90,72,18,15,15,17,0,0,0.20833333333333334,0.16666666666666666,0.9444444444444444,0.0,0.0,1.856800005043624,0.020631111167151377,0,2026,6,multimodal
quarantine_only,90,72,18,15,15,17,0,0,0.20833333333333334,0.16666666666666666,0.9444444444444444,0.0,0.0,1.9480000028124778,0.021644444475694198,0,2026,6,multimodal
trust_score_retrieval,90,72,18,7,8,17,0,0,0.09722222222222222,0.08888888888888889,0.9444444444444444,0.0,0.0,2.1212000065133907,0.023568888961259898,0,2026,6,multimodal
output_moderation,90,72,18,15,15,17,0,0,0.20833333333333334,0.16666666666666666,0.9444444444444444,0.0,0.0,2.1877999970456585,0.024308888856062874,0,2026,6,multimodal
counterfactual_memory,90,72,18,4,15,11,0,7,0.05555555555555555,0.16666666666666666,0.6111111111111112,0.0,0.3888888888888889,3.3823000067059183,0.03758111118562132,0,2026,6,multimodal
provenance_only,90,72,18,7,8,17,0,0,0.09722222222222222,0.08888888888888889,0.9444444444444444,0.0,0.0,1.881600015622098,0.020906666840245534,0,2026,6,multimodal
intent_capsules,90,72,18,0,0,18,18,0,0.0,0.0,1.0,0.25,0.0,3.2871000112209003,0.03652333345801,0,2026,6,multimodal
ablation_no_topic_scope,90,72,18,0,0,10,18,0,0.0,0.0,0.5555555555555556,0.25,0.0,2.8973000080441125,0.03219222231160125,0,2026,6,multimodal
ablation_no_denied_actions,90,72,18,24,24,18,0,0,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,2.517999990232056,0.027977777669245068,0,2026,6,multimodal
ablation_no_quorum,90,72,18,0,0,18,18,0,0.0,0.0,1.0,0.25,0.0,2.617099997223704,0.029078888858041156,0,2026,6,multimodal
ambient_memory,90,72,18,17,29,16,0,0,0.2361111111111111,0.32222222222222224,0.8888888888888888,0.0,0.0,2.0049999930051854,0.022277777700057615,1,2027,6,multimodal
keyword_filter,90,72,18,17,17,16,0,0,0.2361111111111111,0.18888888888888888,0.8888888888888888,0.0,0.0,2.0729000025312416,0.02303222225034713,1,2027,6,multimodal
quarantine_only,90,72,18,17,17,16,0,0,0.2361111111111111,0.18888888888888888,0.8888888888888888,0.0,0.0,2.077199993436807,0.023079999927075632,1,2027,6,multimodal
trust_score_retrieval,90,72,18,6,9,16,0,0,0.08333333333333333,0.1,0.8888888888888888,0.0,0.0,1.8126000031770673,0.020140000035300747,1,2027,6,multimodal
output_moderation,90,72,18,17,17,16,0,0,0.2361111111111111,0.18888888888888888,0.8888888888888888,0.0,0.0,1.878500002931105,0.020872222254790056,1,2027,6,multimodal
counterfactual_memory,90,72,18,6,17,12,0,5,0.08333333333333333,0.18888888888888888,0.6666666666666666,0.0,0.2777777777777778,3.38149998060544,0.037572222006727114,1,2027,6,multimodal
provenance_only,90,72,18,6,9,16,0,0,0.08333333333333333,0.1,0.8888888888888888,0.0,0.0,1.9804000057774829,0.0220044445086387,1,2027,6,multimodal
intent_capsules,90,72,18,0,0,18,18,0,0.0,0.0,1.0,0.25,0.0,2.8072000004613074,0.03119111111623675,1,2027,6,multimodal
ablation_no_topic_scope,90,72,18,1,1,12,18,0,0.013888888888888888,0.011111111111111112,0.6666666666666666,0.25,0.0,2.735899997787783,0.0303988888643087,1,2027,6,multimodal
ablation_no_denied_actions,90,72,18,24,24,18,0,0,0.3333333333333333,0.26666666666666666,1.0,0.0,0.0,2.40240000130143,0.02669333334779367,1,2027,6,multimodal
ablation_no_quorum,90,72,18,0,0,18,18,0,0.0,0.0,1.0,0.25,0.0,2.3659000034967903,0.026287777816631004,1,2027,6,multimodal
ambient_memory,90,72,18,17,29,14,0,0,0.2361111111111111,0.32222222222222224,0.7777777777777778,0.0,0.0,2.008599991313531,0.022317777681261457,2,2028,6,multimodal
