agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,180,108,72,23,26,71,0,0,0.21296296296296297,0.14444444444444443,0.9861111111111112,0.0,0.0,4.067799999688759,0.022598888887159774,0,2026,12,utility
keyword_filter,180,108,72,23,23,71,0,0,0.21296296296296297,0.12777777777777777,0.9861111111111112,0.0,0.0,4.024800000252071,0.022360000001400395,0,2026,12,utility
quarantine_only,180,108,72,23,23,71,0,0,0.21296296296296297,0.12777777777777777,0.9861111111111112,0.0,0.0,3.9504000003489637,0.021946666668605355,0,2026,12,utility
trust_score_retrieval,180,108,72,3,3,71,0,0,0.027777777777777776,0.016666666666666666,0.9861111111111112,0.0,0.0,4.140500000062275,0.023002777778123748,0,2026,12,utility
output_moderation,180,108,72,23,23,71,0,0,0.21296296296296297,0.12777777777777777,0.9861111111111112,0.0,0.0,4.018400000518341,0.022324444447324114,0,2026,12,utility
counterfactual_memory,180,108,72,6,8,39,0,33,0.05555555555555555,0.044444444444444446,0.5416666666666666,0.0,0.4583333333333333,7.291600000485232,0.040508888891584625,0,2026,12,utility
provenance_only,180,108,72,3,3,71,0,0,0.027777777777777776,0.016666666666666666,0.9861111111111112,0.0,0.0,3.832599999896047,0.021292222221644706,0,2026,12,utility
intent_capsules,180,108,72,0,0,72,24,0,0.0,0.0,1.0,0.2222222222222222,0.0,12.001399999803652,0.06667444444335363,0,2026,12,utility
ablation_no_topic_scope,180,108,72,2,2,56,24,0,0.018518518518518517,0.011111111111111112,0.7777777777777778,0.2222222222222222,0.0,6.367699999941578,0.03537611111078655,0,2026,12,utility
ablation_no_denied_actions,180,108,72,36,36,60,0,0,0.3333333333333333,0.2,0.8333333333333334,0.0,0.0,5.819999999857828,0.032333333332543485,0,2026,12,utility
ablation_no_quorum,180,108,72,0,0,72,24,0,0.0,0.0,1.0,0.2222222222222222,0.0,5.7349000002204775,0.03186055555678043,0,2026,12,utility
ambient_memory,180,108,72,24,29,70,0,0,0.2222222222222222,0.16111111111111112,0.9722222222222222,0.0,0.0,3.9544000003388646,0.02196888889077147,1,2027,12,utility
