agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,252,108,144,23,26,130,0,0,0.21296296296296297,0.10317460317460317,0.9027777777777778,0.0,0.0,6.667899981039227,0.02645992055967947,0,2026,12,utility
keyword_filter,252,108,144,23,23,130,0,0,0.21296296296296297,0.09126984126984126,0.9027777777777778,0.0,0.0,6.277500001488079,0.02491071429161936,0,2026,12,utility
quarantine_only,252,108,144,23,23,130,0,0,0.21296296296296297,0.09126984126984126,0.9027777777777778,0.0,0.0,6.698299992422108,0.026580555525484554,0,2026,12,utility
trust_score_retrieval,252,108,144,4,4,129,0,0,0.037037037037037035,0.015873015873015872,0.8958333333333334,0.0,0.0,6.419499997718958,0.025474206340154595,0,2026,12,utility
output_moderation,252,108,144,23,23,130,0,0,0.21296296296296297,0.09126984126984126,0.9027777777777778,0.0,0.0,6.510699998216296,0.02583611110403292,0,2026,12,utility
counterfactual_memory,252,108,144,7,10,76,0,68,0.06481481481481481,0.03968253968253968,0.5277777777777778,0.0,0.4722222222222222,11.764099997890298,0.046682936499564676,0,2026,12,utility
provenance_only,252,108,144,4,4,129,0,0,0.037037037037037035,0.015873015873015872,0.8958333333333334,0.0,0.0,6.216400003722811,0.024668253983027025,0,2026,12,utility
intent_capsules,252,108,144,0,0,132,24,0,0.0,0.0,0.9166666666666666,0.2222222222222222,0.0,10.377300004620338,0.04117976192309658,0,2026,12,utility
ablation_no_topic_scope,252,108,144,0,0,100,24,0,0.0,0.0,0.6944444444444444,0.2222222222222222,0.0,9.974999993573874,0.039583333307832834,0,2026,12,utility
ablation_no_denied_actions,252,108,144,36,36,108,0,0,0.3333333333333333,0.14285714285714285,0.75,0.0,0.0,8.84160000441625,0.03508571430323909,0,2026,12,utility
ablation_no_quorum,252,108,144,0,0,132,24,0,0.0,0.0,0.9166666666666666,0.2222222222222222,0.0,9.220100000675302,0.036587698415378185,0,2026,12,utility
ambient_memory,252,108,144,24,28,130,0,0,0.2222222222222222,0.1111111111111111,0.9027777777777778,0.0,0.0,6.336000001283537,0.025142857147950545,1,2027,12,utility
keyword_filter,252,108,144,24,24,130,0,0,0.2222222222222222,0.09523809523809523,0.9027777777777778,0.0,0.0,6.091899997954897,0.02417420634109086,1,2027,12,utility
quarantine_only,252,108,144,24,24,130,0,0,0.2222222222222222,0.09523809523809523,0.9027777777777778,0.0,0.0,6.219899998541223,0.024682142851354057,1,2027,12,utility
trust_score_retrieval,252,108,144,3,3,130,0,0,0.027777777777777776,0.011904761904761904,0.9027777777777778,0.0,0.0,6.962599995858909,0.02762936506293218,1,2027,12,utility
output_moderation,252,108,144,24,24,130,0,0,0.2222222222222222,0.09523809523809523,0.9027777777777778,0.0,0.0,6.546699987666216,0.025978968205024665,1,2027,12,utility
counterfactual_memory,252,108,144,5,9,81,0,62,0.046296296296296294,0.03571428571428571,0.5625,0.0,0.4305555555555556,11.264900002970535,0.044701984138771966,1,2027,12,utility
provenance_only,252,108,144,3,3,130,0,0,0.027777777777777776,0.011904761904761904,0.9027777777777778,0.0,0.0,6.058499996470346,0.024041666652660103,1,2027,12,utility
intent_capsules,252,108,144,0,0,132,24,0,0.0,0.0,0.9166666666666666,0.2222222222222222,0.0,9.884300015983172,0.03922341276183798,1,2027,12,utility
ablation_no_topic_scope,252,108,144,3,3,102,24,0,0.027777777777777776,0.011904761904761904,0.7083333333333334,0.2222222222222222,0.0,10.638600009770016,0.04221666670543657,1,2027,12,utility
ablation_no_denied_actions,252,108,144,36,36,108,0,0,0.3333333333333333,0.14285714285714285,0.75,0.0,0.0,8.54740000613674,0.03391825399260611,1,2027,12,utility
ablation_no_quorum,252,108,144,0,0,132,24,0,0.0,0.0,0.9166666666666666,0.2222222222222222,0.0,8.71060000736179,0.03456587304508647,1,2027,12,utility
ambient_memory,252,108,144,24,30,132,0,0,0.2222222222222222,0.11904761904761904,0.9166666666666666,0.0,0.0,5.843399997502274,0.023188095228183627,2,2028,12,utility
keyword_filter,252,108,144,24,24,132,0,0,0.2222222222222222,0.09523809523809523,0.9166666666666666,0.0,0.0,6.041300005563244,0.023973412720489064,2,2028,12,utility
quarantine_only,252,108,144,24,24,132,0,0,0.2222222222222222,0.09523809523809523,0.9166666666666666,0.0,0.0,5.818399996314838,0.02308888887426523,2,2028,12,utility
trust_score_retrieval,252,108,144,4,4,131,0,0,0.037037037037037035,0.015873015873015872,0.9097222222222222,0.0,0.0,5.7702999974935665,0.022898015863069707,2,2028,12,utility
output_moderation,252,108,144,24,24,132,0,0,0.2222222222222222,0.09523809523809523,0.9166666666666666,0.0,0.0,5.8854000044448185,0.023354761922400075,2,2028,12,utility
counterfactual_memory,252,108,144,5,11,80,0,64,0.046296296296296294,0.04365079365079365,0.5555555555555556,0.0,0.4444444444444444,10.406099996544071,0.04129404760533362,2,2028,12,utility
provenance_only,252,108,144,4,4,131,0,0,0.037037037037037035,0.015873015873015872,0.9097222222222222,0.0,0.0,5.778499999905762,0.022930555555181593,2,2028,12,utility
intent_capsules,252,108,144,0,0,132,24,0,0.0,0.0,0.9166666666666666,0.2222222222222222,0.0,9.893299995383131,0.03925912696580608,2,2028,12,utility
ablation_no_topic_scope,252,108,144,0,0,103,24,0,0.0,0.0,0.7152777777777778,0.2222222222222222,0.0,9.575800003403856,0.037999206362713714,2,2028,12,utility
ablation_no_denied_actions,252,108,144,36,36,108,0,0,0.3333333333333333,0.14285714285714285,0.75,0.0,0.0,8.690499997101142,0.034486111099607704,2,2028,12,utility
ablation_no_quorum,252,108,144,0,0,132,24,0,0.0,0.0,0.9166666666666666,0.2222222222222222,0.0,8.871100000760634,0.03520277778079617,2,2028,12,utility
ambient_memory,252,108,144,24,27,131,0,0,0.2222222222222222,0.10714285714285714,0.9097222222222222,0.0,0.0,5.8239000127287,0.023110714336225,3,2029,12,utility
keyword_filter,252,108,144,24,24,131,0,0,0.2222222222222222,0.09523809523809523,0.9097222222222222,0.0,0.0,5.944700004874903,0.023590079384424218,3,2029,12,utility
quarantine_only,252,108,144,24,24,131,0,0,0.2222222222222222,0.09523809523809523,0.9097222222222222,0.0,0.0,5.694099996617297,0.022595634907211493,3,2029,12,utility
trust_score_retrieval,252,108,144,0,0,130,0,0,0.0,0.0,0.9027777777777778,0.0,0.0,5.663399992045015,0.022473809492242123,3,2029,12,utility
