agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,3,0.5757575757575758,0.0,0.5277777777777778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.026392592514167958,0.0011357955471686051
ablation_no_quorum,3,0.12121212121212122,0.0,0.1111111111111111,0.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.025612962969245454,0.0012565722600395989
ablation_no_topic_scope,3,0.0025252525252525255,0.00494949494949495,0.0023148148148148147,0.004537037037037037,0.6111111111111112,0.0544444444444444,0.18181818181818182,0.0,0.0,0.0,0.030536805579854612,0.0032474071742589028
ambient_memory,3,0.5050505050505051,0.017845657828054074,0.49074074074074076,0.016358519675716224,0.8888888888888888,0.14404646026907217,0.0,0.0,0.0,0.0,0.022055092666017084,0.0017060162483724325
counterfactual_memory,3,0.22474747474747475,0.02619026550346766,0.23148148148148148,0.027597718887464127,0.6111111111111112,0.2373178313705478,0.0,0.0,0.2777777777777778,0.10888888888888888,0.04184652776210122,0.011062130621745471
intent_capsules,3,0.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.03202314816782611,0.009249440923059937
keyword_filter,3,0.5050505050505051,0.017845657828054074,0.46296296296296297,0.01635851967571626,0.8888888888888888,0.14404646026907217,0.0,0.0,0.0,0.0,0.02153055559709308,0.0006253892449360436
output_moderation,3,0.5050505050505051,0.017845657828054074,0.46296296296296297,0.01635851967571626,0.8888888888888888,0.14404646026907217,0.0,0.0,0.0,0.0,0.02177129632669945,0.0017942911135804035
provenance_only,3,0.23737373737373738,0.01784565782805409,0.2222222222222222,0.020791315653040376,0.8888888888888888,0.14404646026907217,0.0,0.0,0.0,0.0,0.021210185191530735,0.002516099454164859
quarantine_only,3,0.5050505050505051,0.017845657828054074,0.46296296296296297,0.01635851967571626,0.8888888888888888,0.14404646026907217,0.0,0.0,0.0,0.0,0.02133958336495804,0.00122543565292291
trust_score_retrieval,3,0.23737373737373738,0.01784565782805409,0.2222222222222222,0.020791315653040376,0.8888888888888888,0.14404646026907217,0.0,0.0,0.0,0.0,0.022659027763438644,0.0031446147946963127
