agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,10,0.5882352941176471,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04993281666869128,0.001113208585919211
ablation_no_quorum,10,0.058823529411764705,0.0,0.05,0.0,1.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.05015986667361479,0.0012200193763314516
ablation_no_topic_scope,10,0.000196078431372549,0.000384313725490196,0.0001666666666666667,0.0003266666666666667,0.7188888888888889,0.013405082671382958,0.11764705882352941,0.0,0.0,0.0,0.054315716667739856,0.0014133914359426311
ambient_memory,10,0.3713725490196078,0.0031483507484694464,0.3165,0.0025974051628975684,0.9933333333333334,0.004815247843775245,0.0,0.0,0.0,0.0,0.03234525000637708,0.0009497217032359626
counterfactual_memory,10,0.20921568627450982,0.007315433048137958,0.17866666666666667,0.006058764083723857,0.96,0.013066666666666657,0.0,0.0,0.03777777777777778,0.013463920186053021,0.059816833338724486,0.0021779590407807665
intent_capsules,10,0.0,0.0,0.0,0.0,1.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.05096253332643149,0.0012064409246100342
keyword_filter,10,0.3713725490196078,0.0031483507484694464,0.31566666666666665,0.0026760981361990278,0.9933333333333334,0.004815247843775245,0.0,0.0,0.0,0.0,0.03323016666172407,0.0020451674669321263
output_moderation,10,0.3713725490196078,0.0031483507484694464,0.31566666666666665,0.0026760981361990278,0.9933333333333334,0.004815247843775245,0.0,0.0,0.0,0.0,0.032960549997369526,0.0013125539724619534
provenance_only,10,0.05745098039215686,0.0008202695101547961,0.04883333333333333,0.0006972290836315774,0.9822222222222222,0.005807407407407419,0.0,0.0,0.0,0.0,0.03244476666653403,0.0008834998223187457
quarantine_only,10,0.3713725490196078,0.0031483507484694464,0.31566666666666665,0.0026760981361990278,0.9933333333333334,0.004815247843775245,0.0,0.0,0.0,0.0,0.033069283334195156,0.0020032327122796257
trust_score_retrieval,10,0.05745098039215686,0.0008202695101547961,0.04883333333333333,0.0006972290836315774,0.9822222222222222,0.005807407407407419,0.0,0.0,0.0,0.0,0.03332408333183897,0.0013883351855630104
