agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.3333333333333333,0.0,0.14285714285714285,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.035288095248342005,0.0005544689730589526
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.03630857141500215,0.0006030900773818037
ablation_no_topic_scope,5,0.005555555555555555,0.010888888888888887,0.0023809523809523807,0.004666666666666666,0.7083333333333334,0.009624508966150242,0.2222222222222222,0.0,0.0,0.0,0.03820047618680133,0.0016805927430674898
ambient_memory,5,0.22037037037037036,0.003629629629629624,0.10952380952380952,0.005275145542430764,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.02419015873957029,0.0004865668129581039
counterfactual_memory,5,0.06111111111111111,0.012308672932338447,0.04126984126984127,0.0031111111111111105,0.5611111111111111,0.019911338974390604,0.0,0.0,0.4361111111111111,0.020820996347170533,0.043665714300668845,0.000540491789796027
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.037215000010912755,0.0020866230003758124
keyword_filter,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.023818253973172793,0.00022488379837662986
output_moderation,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.025729206330767723,0.0021166292690632735
provenance_only,5,0.027777777777777776,0.014057495108456549,0.011904761904761904,0.006024640760767093,0.9027777777777778,0.004304211259673611,0.0,0.0,0.0,0.0,0.024550793639516795,0.0009053239497085748
quarantine_only,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.023906984142019017,0.000684214108812725
trust_score_retrieval,5,0.027777777777777776,0.014057495108456549,0.011904761904761904,0.006024640760767093,0.9027777777777778,0.004304211259673611,0.0,0.0,0.0,0.0,0.02452611111833008,0.001597158567398618
