agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021608333327094442,0.0
ablation_no_quorum,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.015741666553973726,0.0
ablation_no_topic_scope,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.022150000177134643,0.0
ambient_memory,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015499999866127231,0.0
counterfactual_memory,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015324999897832944,0.0
intent_capsules,1,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.11661666667350801,0.0
keyword_filter,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011108333258865363,0.0
output_moderation,1,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009466666748873346,0.0
provenance_only,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009083333528299894,0.0
quarantine_only,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01064166675253849,0.0
trust_score_retrieval,1,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010225000172188933,0.0
