agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.974900012712169,0.03454791675494562,0,2026,4,workflow_corpus
keyword_filter,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.708900009973149,0.03270069451370242,0,2026,4,workflow_corpus
quarantine_only,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.742699999951583,0.03293541666633044,0,2026,4,workflow_corpus
trust_score_retrieval,144,96,48,23,23,48,0,0,0.23958333333333334,0.1597222222222222,1.0,0.0,0.0,4.67939999907685,0.03249583332692257,0,2026,4,workflow_corpus
output_moderation,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.711400000815047,0.032718055561215605,0,2026,4,workflow_corpus
counterfactual_memory,144,96,48,3,3,46,0,2,0.03125,0.020833333333333332,0.9583333333333334,0.0,0.041666666666666664,9.09620000038558,0.06316805555823318,0,2026,4,workflow_corpus
provenance_only,144,96,48,23,23,48,0,0,0.23958333333333334,0.1597222222222222,1.0,0.0,0.0,4.676599997765152,0.03247638887336911,0,2026,4,workflow_corpus
intent_capsules,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,7.759799998893868,0.05388749999231853,0,2026,4,workflow_corpus
ablation_no_topic_scope,144,96,48,0,0,26,8,3,0.0,0.0,0.5416666666666666,0.08333333333333333,0.0625,10.9881000016685,0.07630625001158681,0,2026,4,workflow_corpus
ablation_no_denied_actions,144,96,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,7.398199996714538,0.05137638886607318,0,2026,4,workflow_corpus
ablation_no_quorum,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,6.428299998333387,0.04464097221064852,0,2026,4,workflow_corpus
ambient_memory,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.832799999348936,0.03356111110658983,1,2027,4,workflow_corpus
keyword_filter,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.714700001386518,0.03274097223185082,1,2027,4,workflow_corpus
quarantine_only,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.65389999862964,0.03231874999048361,1,2027,4,workflow_corpus
trust_score_retrieval,144,96,48,26,26,48,0,0,0.2708333333333333,0.18055555555555555,1.0,0.0,0.0,4.78660000499076,0.03324027781243583,1,2027,4,workflow_corpus
output_moderation,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.787099999703059,0.033243749997937916,1,2027,4,workflow_corpus
counterfactual_memory,144,96,48,4,4,44,0,4,0.041666666666666664,0.027777777777777776,0.9166666666666666,0.0,0.08333333333333333,9.142400008386176,0.06348888894712622,1,2027,4,workflow_corpus
provenance_only,144,96,48,26,26,48,0,0,0.2708333333333333,0.18055555555555555,1.0,0.0,0.0,4.67089999892778,0.032436805548109585,1,2027,4,workflow_corpus
intent_capsules,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,6.8224000051486655,0.0473777778135324,1,2027,4,workflow_corpus
ablation_no_topic_scope,144,96,48,0,0,24,8,2,0.0,0.0,0.5,0.08333333333333333,0.041666666666666664,10.794100001476181,0.07495902778802904,1,2027,4,workflow_corpus
ablation_no_denied_actions,144,96,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,6.997699998464668,0.04859513887822686,1,2027,4,workflow_corpus
ablation_no_quorum,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,6.560499998158775,0.045559027764991496,1,2027,4,workflow_corpus
ambient_memory,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.98339999376185,0.03460694440112396,2,2028,4,workflow_corpus
keyword_filter,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.714799997600494,0.03274166665000343,2,2028,4,workflow_corpus
quarantine_only,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,5.213000004005153,0.03620138891670245,2,2028,4,workflow_corpus
trust_score_retrieval,144,96,48,24,24,45,0,0,0.25,0.16666666666666666,0.9375,0.0,0.0,5.0632000020414125,0.03516111112528759,2,2028,4,workflow_corpus
output_moderation,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.771800001435622,0.033137500009969595,2,2028,4,workflow_corpus
counterfactual_memory,144,96,48,3,3,44,0,4,0.03125,0.020833333333333332,0.9166666666666666,0.0,0.08333333333333333,9.607599994524207,0.06671944440641811,2,2028,4,workflow_corpus
provenance_only,144,96,48,24,24,45,0,0,0.25,0.16666666666666666,0.9375,0.0,0.0,5.7279000011476455,0.039777083341303095,2,2028,4,workflow_corpus
intent_capsules,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,7.014299994807516,0.048710416630607746,2,2028,4,workflow_corpus
ablation_no_topic_scope,144,96,48,0,0,25,8,2,0.0,0.0,0.5208333333333334,0.08333333333333333,0.041666666666666664,10.979299997416092,0.07624513887094508,2,2028,4,workflow_corpus
ablation_no_denied_actions,144,96,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,7.800799995493435,0.05417222219092663,2,2028,4,workflow_corpus
ablation_no_quorum,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,6.161300005260273,0.042786805592085225,2,2028,4,workflow_corpus
ambient_memory,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.806499995538616,0.033378472191240384,3,2029,4,workflow_corpus
keyword_filter,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.670700000133365,0.032435416667592816,3,2029,4,workflow_corpus
quarantine_only,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.6281999957500375,0.03214027774826415,3,2029,4,workflow_corpus
trust_score_retrieval,144,96,48,24,24,45,0,0,0.25,0.16666666666666666,0.9375,0.0,0.0,4.702000001088891,0.032652777785339517,3,2029,4,workflow_corpus
output_moderation,144,96,48,32,32,48,0,0,0.3333333333333333,0.2222222222222222,1.0,0.0,0.0,4.709600010755821,0.03270555563024876,3,2029,4,workflow_corpus
counterfactual_memory,144,96,48,4,4,41,0,7,0.041666666666666664,0.027777777777777776,0.8541666666666666,0.0,0.14583333333333334,9.154299991678272,0.063571527719988,3,2029,4,workflow_corpus
provenance_only,144,96,48,24,24,45,0,0,0.25,0.16666666666666666,0.9375,0.0,0.0,4.656799996155314,0.032338888862189684,3,2029,4,workflow_corpus
intent_capsules,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,6.978700001127436,0.04846319445227386,3,2029,4,workflow_corpus
ablation_no_topic_scope,144,96,48,0,0,27,8,1,0.0,0.0,0.5625,0.08333333333333333,0.020833333333333332,10.632399995301967,0.07383611107848588,3,2029,4,workflow_corpus
ablation_no_denied_actions,144,96,48,0,0,48,0,0,0.0,0.0,1.0,0.0,0.0,7.00660000256903,0.04865694446228493,3,2029,4,workflow_corpus
ablation_no_quorum,144,96,48,0,0,48,8,0,0.0,0.0,1.0,0.08333333333333333,0.0,6.291600002441555,0.04369166668362191,3,2029,4,workflow_corpus
