agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05180722220327678,0.0029604915106397423
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.04422902777479168,0.0009155352998540132
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.5375,0.02380972023728497,0.08333333333333333,0.0,0.041666666666666664,0.01291263377902088,0.0747609722174679,0.0014394578178500896
ambient_memory,5,0.3333333333333333,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.033654722233222856,0.0008729005546424745
counterfactual_memory,5,0.03958333333333333,0.007639217164663464,0.02638888888888889,0.005092811443108977,0.9125,0.032666666666666684,0.0,0.0,0.0875,0.03266666666666666,0.0639463888837276,0.0013856902047030993
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.04902291667324082,0.002490474831554661
keyword_filter,5,0.3333333333333333,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03257222224040864,0.00019659552504736608
output_moderation,5,0.3333333333333333,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.032847361117344716,0.00029423004805010906
provenance_only,5,0.24375,0.02000416623272928,0.1625,0.01333611082181952,0.9625,0.03000624934909393,0.0,0.0,0.0,0.0,0.03379305554618542,0.002938185042835595
quarantine_only,5,0.3333333333333333,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03313124999143232,0.0015341285743599334
trust_score_retrieval,5,0.24375,0.02000416623272928,0.1625,0.01333611082181952,0.9625,0.03000624934909393,0.0,0.0,0.0,0.0,0.03307388890208232,0.001114729693900629
