agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03438589505947922,0.0018101673600374013
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.0,0.0,0.0,0.0328418827175511,0.001622474579019929
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.45,0.02769451409776151,0.12,0.0,0.0,0.0,0.03724265432343139,0.001756934095929699
ambient_memory,5,0.44366666666666665,0.0031671508401786607,0.4191358024691358,0.0036547484734946447,0.9708333333333333,0.010002083116364607,0.0,0.0,0.0,0.0,0.02267058641910965,0.0009265554005240598
counterfactual_memory,5,0.23633333333333334,0.011750922422421891,0.2271604938271605,0.010538781705173245,0.6916666666666667,0.03958938550223336,0.0,0.0,0.3,0.04583530298798078,0.04302851851812305,0.002324301905564248
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.0,0.0,0.0,0.033856450617080286,0.001639080519167957
keyword_filter,5,0.4043333333333333,0.0024445494926923065,0.3743827160493827,0.0022634717524928883,0.9708333333333333,0.010002083116364607,0.0,0.0,0.0,0.0,0.022540308643390655,0.001059248592740542
output_moderation,5,0.4036666666666667,0.0031671508401786607,0.37376543209876545,0.0029325470742395205,0.9708333333333333,0.010002083116364607,0.0,0.0,0.0,0.0,0.022967932097504605,0.0008856991204197586
provenance_only,5,0.13133333333333333,0.0016003332986183432,0.12160493827160494,0.0014817900913132787,0.9625,0.015278434329326906,0.0,0.0,0.0,0.0,0.02270089506098738,0.001373234166178269
quarantine_only,5,0.4043333333333333,0.0024445494926923065,0.3743827160493827,0.0022634717524928883,0.9708333333333333,0.010002083116364607,0.0,0.0,0.0,0.0,0.02267583333860661,0.001294139367375652
trust_score_retrieval,5,0.13133333333333333,0.0016003332986183432,0.12160493827160494,0.0014817900913132787,0.9625,0.015278434329326906,0.0,0.0,0.0,0.0,0.022406327159485977,0.0009757370791785938
