agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.036618111117200494,0.0005198136282672819
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.03556727777600423,0.0003127992107633239
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.6166666666666667,0.029217954905997254,0.13333333333333333,0.0,0.0,0.0,0.04083055554651259,0.0011291896301694419
ambient_memory,5,0.4,0.0,0.465,0.004423087575857356,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.02412950000487197,0.0014688839913015782
counterfactual_memory,5,0.30133333333333334,0.008667446118795443,0.3827777777777778,0.01134222962382205,0.8966666666666666,0.02400499947927514,0.0,0.0,0.07666666666666666,0.026538525455144134,0.0430839999984932,0.0007269851648925359
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.03701477778400254,0.0008393412994791577
keyword_filter,5,0.4,0.0,0.4444444444444444,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.023367555549056205,0.00024300754011297355
output_moderation,5,0.4,0.0,0.3333333333333333,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.023955111113183294,0.000236284788604465
provenance_only,5,0.2826666666666667,0.003809555237965596,0.3466666666666667,0.003174629364971319,0.9466666666666667,0.012222747463461532,0.0,0.0,0.0,0.0,0.023257722220427643,0.00018056723189016519
quarantine_only,5,0.4,0.0,0.4444444444444444,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.0237844444445222,0.0008192044466244174
trust_score_retrieval,5,0.2826666666666667,0.003809555237965596,0.3466666666666667,0.003174629364971319,0.9466666666666667,0.012222747463461532,0.0,0.0,0.0,0.0,0.02327372222149885,0.0001851077994896879
