agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.037249555553242115,0.0011309674122572668
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.035621722228016656,0.00038877814679256665
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.6166666666666667,0.029217954905997254,0.13333333333333333,0.0,0.0,0.0,0.04101594443707452,0.0012005575330907628
ambient_memory,5,0.4,0.0,0.465,0.004423087575857356,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.02402544444799383,0.0013870482294022963
counterfactual_memory,5,0.30133333333333334,0.008667446118795443,0.3827777777777778,0.01134222962382205,0.8966666666666666,0.02400499947927514,0.0,0.0,0.07666666666666666,0.026538525455144134,0.04274338888838732,0.0007446517419422916
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.036397611113948694,0.0007272584958841239
keyword_filter,5,0.4,0.0,0.4444444444444444,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.022881666668076325,0.00017001693046571264
output_moderation,5,0.4,0.0,0.3333333333333333,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.023445333331185085,0.0003014891438987123
provenance_only,5,0.2826666666666667,0.003809555237965596,0.3466666666666667,0.003174629364971319,0.9466666666666667,0.012222747463461532,0.0,0.0,0.0,0.0,0.02330661111500376,0.00041674619301252617
quarantine_only,5,0.4,0.0,0.4444444444444444,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.02380327778407971,0.0009180218027075292
trust_score_retrieval,5,0.2826666666666667,0.003809555237965596,0.3466666666666667,0.003174629364971319,0.9466666666666667,0.012222747463461532,0.0,0.0,0.0,0.0,0.022970666663897847,0.0002031871185149775
