agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.036032539684230064,0.00023376525304350603
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.03504142858449966,0.0008523517790248819
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.7083333333333334,0.009624508966150242,0.2222222222222222,0.0,0.0,0.0,0.039818492065557896,0.00041435725278687836
ambient_memory,5,0.22037037037037036,0.003629629629629624,0.10952380952380952,0.005275145542430764,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.02357317460784601,0.0008266724385812828
counterfactual_memory,5,0.06111111111111111,0.012308672932338447,0.04126984126984127,0.0031111111111111105,0.9,0.005444444444444468,0.0,0.0,0.006944444444444444,0.006087073938749426,0.04210785714962734,0.0005268482291153233
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.03642142856726481,0.0011048091178428798
keyword_filter,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.0230995238083894,0.0005047549640155587
output_moderation,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.023303253967588672,0.00020891485024331736
provenance_only,5,0.027777777777777776,0.014057495108456549,0.011904761904761904,0.006024640760767093,0.9027777777777778,0.004304211259673611,0.0,0.0,0.0,0.0,0.023010158741141953,0.00012969280766457472
quarantine_only,5,0.22037037037037036,0.003629629629629624,0.09444444444444444,0.0015555555555555553,0.9069444444444444,0.005444444444444425,0.0,0.0,0.0,0.0,0.02305285714187665,0.00011210025263196193
trust_score_retrieval,5,0.027777777777777776,0.014057495108456549,0.011904761904761904,0.006024640760767093,0.9027777777777778,0.004304211259673611,0.0,0.0,0.0,0.0,0.024465238090439045,0.001915493949767746
