agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050467592590461276,0.0004315538423284712
ablation_no_quorum,10,0.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.04886535185219314,0.0003434740331755332
ablation_no_topic_scope,10,0.0,0.0,0.0,0.0,0.6866666666666666,0.013306442017945843,0.18181818181818182,0.0,0.0,0.0,0.054845175925914154,0.000730386978305534
ambient_memory,10,0.3316161616161616,0.009627103433566177,0.30407407407407405,0.008940815748694054,0.9944444444444445,0.0036296296296296168,0.0,0.0,0.0,0.0,0.03128099999702061,0.001150581536593766
counterfactual_memory,10,0.15333333333333332,0.009256952366436094,0.14064814814814813,0.008612460091691043,0.9788888888888889,0.008244933598347064,0.0,0.0,0.015555555555555555,0.007403020923438413,0.05563499999812781,0.00042674397365039955
intent_capsules,10,0.0,0.0,0.0,0.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.04900454629705564,0.0003333876999317409
keyword_filter,10,0.3316161616161616,0.009627103433566177,0.30398148148148146,0.008824844814102329,0.9944444444444445,0.0036296296296296168,0.0,0.0,0.0,0.0,0.03039549999871101,0.0002519313034775156
output_moderation,10,0.3316161616161616,0.009627103433566177,0.30398148148148146,0.008824844814102329,0.9944444444444445,0.0036296296296296168,0.0,0.0,0.0,0.0,0.03175846296000128,0.002250189321220093
provenance_only,10,0.08707070707070708,0.0068187364449980884,0.07981481481481481,0.006250508407914914,0.9822222222222222,0.00740302092343842,0.0,0.0,0.0,0.0,0.03093005555877392,0.0013294994785105366
quarantine_only,10,0.3316161616161616,0.009627103433566177,0.30398148148148146,0.008824844814102329,0.9944444444444445,0.0036296296296296168,0.0,0.0,0.0,0.0,0.0303403055469668,0.00024995873784177796
trust_score_retrieval,10,0.08707070707070708,0.0068187364449980884,0.07981481481481481,0.006250508407914914,0.9822222222222222,0.00740302092343842,0.0,0.0,0.0,0.0,0.030371694440250226,0.00031760132322295284
