agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,8,0.3333333333333333,0.0,0.26666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11657208332849223,0.018424817297845567
ablation_no_quorum,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.1156199305518789,0.01616068695969683
ablation_no_topic_scope,8,0.0,0.0,0.0,0.0,0.9270833333333333,0.03243494200646831,0.25,0.0,0.0,0.0,0.12162409722565018,0.01844713218388148
ambient_memory,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.06551187499578898,0.009575988156884903
counterfactual_memory,8,0.03125,0.007275444918727108,0.025,0.005820355934981686,1.0,0.0,0.0,0.0,0.0,0.0,0.11964152778066112,0.017751649167222744
intent_capsules,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.11588881944754172,0.017841915474263958
keyword_filter,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.06691173610672903,0.007895622682706185
output_moderation,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.07359270832567846,0.01144756464361775
provenance_only,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06887930554802955,0.010076139317281095
quarantine_only,8,0.11458333333333333,0.007275444918727106,0.09166666666666666,0.005820355934981688,1.0,0.0,0.0,0.0,0.0,0.0,0.061697083341666965,0.008817855352605208
trust_score_retrieval,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06615555555211156,0.010527942185688264
