agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.033342333335768776,0.00023230205161692882
ablation_no_quorum,5,0.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0336241666669442,0.0008161504639930289
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.6166666666666667,0.029217954905997254,0.13333333333333333,0.0,0.0,0.0,0.03619705555037298,0.0006140927542958334
ambient_memory,5,0.4,0.0,0.465,0.004423087575857356,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.0226861666636877,0.0007748835538711416
counterfactual_memory,5,0.16799999999999998,0.008667446118795446,0.21611111111111111,0.01134222962382204,0.7733333333333333,0.013066666666666657,0.0,0.0,0.21,0.019600000000000003,0.04057433333072266,0.00045148951640613385
intent_capsules,5,0.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.03362399999976636,0.00076532037963979
keyword_filter,5,0.4,0.0,0.4444444444444444,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.022121166668082677,0.00020746472421840338
output_moderation,5,0.4,0.0,0.3333333333333333,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.022371777775510457,8.011599326388248e-05
provenance_only,5,0.2826666666666667,0.003809555237965596,0.3466666666666667,0.003174629364971319,0.9466666666666667,0.012222747463461532,0.0,0.0,0.0,0.0,0.021986166666591898,0.00032455955913810624
quarantine_only,5,0.4,0.0,0.4444444444444444,0.0,0.9733333333333333,0.008001666493091685,0.0,0.0,0.0,0.0,0.02241611111230668,0.0003202963504372993
trust_score_retrieval,5,0.2826666666666667,0.003809555237965596,0.3466666666666667,0.003174629364971319,0.9466666666666667,0.012222747463461532,0.0,0.0,0.0,0.0,0.022118388892017216,0.00021983466376132026
